readTime,hpwhW_99240,hpwhW_99162,hpwhW_99155,hpwhW_99150,hpwhW_99149,hpwhW_99148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:55:00,0,5.93945,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:56:00,0,5.907536,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:57:00,0,5.943007,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:58:00,0,5.960982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:59:00,0,5.918637,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:00:00,0,5.893816,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:01:00,0,5.951217,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:02:00,0,5.98073,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:03:00,0,5.941694,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:04:00,0,5.980448,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:05:00,0,5.940542,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:06:00,0,5.812561,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:07:00,0,5.928206,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:08:00,0,5.935715,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:09:00,0,5.896302,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:10:00,0,5.96008,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:11:00,0,5.949678,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:12:00,0,5.713406,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:13:00,0,5.69743,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:14:00,0,5.705703,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:15:00,0,5.701677,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:16:00,0,5.75464,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:17:00,0,5.74467,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:18:00,0,5.77458,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:19:00,0,5.832932,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:20:00,0,5.77731,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:21:00,0,5.81162,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:22:00,0,5.964306,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:23:00,0,5.900204,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:24:00,0,5.93506,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:25:00,0,5.898828,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:26:00,0,5.952774,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:27:00,0,5.966938,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:28:00,0,5.929951,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:29:00,0,5.959426,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:30:00,0,5.925695,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:31:00,0,5.980497,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:32:00,0,5.941422,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:33:00,0,5.976237,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:34:00,0,5.9756,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:35:00,0,5.995955,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:36:00,0,5.976015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:37:00,0,5.972978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:38:00,0,5.815618,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:39:00,0,5.803112,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:40:00,0,5.766939,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:41:00,0,5.820816,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:42:00,0,5.82297,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:43:00,0,5.823611,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:44:00,0,5.710773,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:45:00,0,5.82561,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:46:00,0,5.810839,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:47:00,0,5.808264,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:48:00,0,5.848753,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:49:00,0,5.837601,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:50:00,0,5.821613,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:51:00,0,5.841647,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:52:00,0,5.830414,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:53:00,0,5.858054,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:54:00,0,5.834785,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:55:00,0,5.807612,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:56:00,0,5.769463,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:57:00,0,5.803112,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:58:00,0,5.834483,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 01:59:00,0,5.808843,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:00:00,0,5.871811,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:01:00,0,5.862113,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:02:00,0,5.911165,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:03:00,0,5.920809,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:04:00,0,5.877503,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:05:00,0,5.685448,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:06:00,0,5.677149,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:07:00,0,5.615083,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:08:00,0,5.635023,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:09:00,0,5.620661,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:10:00,0,5.624934,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:11:00,0,5.649753,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:12:00,0,5.626371,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:13:00,0,5.656065,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:14:00,0,5.656613,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:15:00,0,5.674586,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:16:00,0,5.869615,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:17:00,0,5.868171,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:18:00,0,5.79687,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:19:00,0,5.788889,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:20:00,0,5.901884,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:21:00,0,5.858329,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:22:00,0,5.838776,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:23:00,0,5.780221,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:24:00,0,5.78564,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:25:00,0,5.810839,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:26:00,0,5.855662,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:27:00,0,5.800862,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:28:00,0,5.811967,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:29:00,0,5.798518,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:30:00,0,5.832408,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:31:00,0,5.824557,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:32:00,0,5.837601,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:33:00,0,5.798713,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:34:00,0,5.847004,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:35:00,0,5.876239,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:36:00,0,5.821198,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:37:00,0,5.82561,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:38:00,0,5.832789,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:39:00,0,5.866548,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:40:00,0,5.870584,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:41:00,0,5.844762,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:42:00,0,5.871169,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:43:00,0,5.779043,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:44:00,0,5.90201,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:45:00,0,5.920779,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:46:00,0,5.9348,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:47:00,0,1921.979,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:48:00,0,1915.978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:49:00,0,1923.478,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:50:00,0,1921.092,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:51:00,0,1917.184,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:52:00,0,1919.538,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:53:00,0,1919.678,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:54:00,0,1923.337,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:55:00,0,1919.845,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:56:00,0,1921.816,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:57:00,0,1917.296,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:58:00,0,1888.021,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 02:59:00,0,5.688839,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:00:00,0,5.702796,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:01:00,0,5.76461,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
